node_ID	lineage	data_source	level
Node1	L1234567	100k_5000	lineage
Node2	L12347	100k_5000	lineage
Node1456	L3	100k_5000	lineage
Node1911	L4	100k_5000	lineage
Node3	L2347	100k_5000	lineage
Node4216	L7	100k_5000	lineage
Node4218	L1	100k_5000	lineage
Node4689	L56BOV	100k_5000	lineage
Node4690	L6BOV	100k_5000	lineage
Node4777	L6	100k_5000	lineage
Node4814	L5	100k_5000	lineage
Node4	L234	100k_5000	lineage
Node5	L23	100k_5000	lineage
Node6	L2	100k_5000	lineage
Node7	L2.2	100k_5000	sublineage
Node2536	L4.3-11	100k_5000	sublineage
Node19	L2.3	100k_5000	sublineage
