Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR025833	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR025834	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR025835	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.x.x.x
ERR025836	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.x.x.x
ERR025837	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR025838	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR025839	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE2	lineage2.2.1
ERR025842	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR025843	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR025844	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR025846	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR025847	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR025848	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR038254	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038255	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038256	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038257	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038258	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE1	lineage1.2.2
ERR038259	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE1	lineage1.2.2
ERR038260	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.1
ERR038261	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.1
ERR038262	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.1
ERR038263	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.1
ERR038264	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038265	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038266	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038269	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038270	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038271	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038272	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038273	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038274	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038275	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038276	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038277	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1
ERR038278	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1
ERR038279	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038280	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.x.x.x
ERR038281	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038282	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.4.1.2
ERR038283	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038284	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038285	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
