Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR11043166	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR11043745	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.2
ERR11044024	R	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.2.2
ERR11044032	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR11083026	R	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR11083067	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1163054	R	PRJEB12011	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR1163056	R	PRJEB12011	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR12118069	S	PRJEB44577	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE4	lineage4.1.1.2
ERR12118070	S	PRJEB44577	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE2	lineage2.2.1
ERR1353081	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768619	R	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768620	R	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768623	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1.1
ERR1768624	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.3.3
ERR1768625	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768626	R	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.3.3
