Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR046769	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR046789	S	PRJEB2221	WHO	liquid_media	MGIT	MGIT960	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR12118069	S	PRJEB44577	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE4	lineage4.1.1.2
ERR12118070	S	PRJEB44577	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE2	lineage2.2.1
ERR2041682	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.2.1
ERR2041683	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.2.2.1
ERR2041684	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.8
ERR2041685	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE2	lineage2.2.1
ERR2041686	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	NA	NA
ERR2041687	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	NA	NA
ERR2041688	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.2.2.1
ERR2041689	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.2.2.1
ERR2041690	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE2	lineage2.2.1
ERR2041691	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE2	lineage2.2.1
ERR2041692	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.1.2.1
ERR2041693	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE4	lineage4.1.2.1
ERR2041694	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	LINEAGE2	lineage2.2.1
ERR2041695	S	PRJEB21809	WHO	liquid_media	MGIT	MGIT960	WHO_past	Serbia	NA	NA
ERR2184202	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184203	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.4.1
ERR2184204	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.4.1
ERR2184205	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.9.x.x
ERR2184206	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184207	S	PRJEB23245	WHO	solid_media	NA	NA	WHO_undefined	Peru	LINEAGE4	lineage4.1.2
ERR2184208	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.1
ERR2184209	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184210	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
ERR2184211	S	PRJEB23245	4	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
