Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR11043166	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR11044024	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.2.2
ERR11044032	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR11083026	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR11083067	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1163054	S	PRJEB12011	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR1163056	S	PRJEB12011	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR12118069	S	PRJEB44577	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE4	lineage4.1.1.2
ERR12118070	S	PRJEB44577	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	South_Africa	LINEAGE2	lineage2.2.1
ERR1353081	S	PRJEB9680	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768619	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768620	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768623	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1.1
ERR1768624	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.3.3
ERR1768625	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768626	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.3.3
ERR1768627	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768628	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768629	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768630	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768631	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768632	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768633	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768634	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768635	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768636	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768637	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE4	lineage4.8
ERR1768638	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768639	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768640	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768641	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768642	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR1768643	S	PRJEB18724	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR2041942	S	PRJEB21922	WHO	liquid_media	MGIT	NA	WHO_past	Germany	LINEAGE2	lineage2.2.1
ERR2184202	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184204	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.4.1
ERR2184207	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2
ERR2184208	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.1
ERR2184209	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.1.2.1
ERR2184210	S	PRJEB23245	1	liquid_media	microdilution_plate	UKMYC5	CRyPTIC	Peru	LINEAGE4	lineage4.3.2
