Run	pheno	Project	MIC	pdst_method1	pdst_method2	pdst_method3	pdst_classification	country	Lineage	Sublineage
ERR025844	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR038254	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038255	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR038266	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR038274	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR038294	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR039323	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR039324	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.2
ERR039335	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.3.1
ERR039337	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.3.1
ERR039344	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR039345	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.2.2
ERR040108	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR046748	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	NA	NA
ERR046769	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR046772	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.1
ERR046779	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.x.x.x
ERR046789	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR046796	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR046798	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR046820	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR046821	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR046825	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.1
ERR046850	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE1	lineage1.2.2
ERR046872	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR046873	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR046875	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.2.1
ERR046877	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.8
ERR046880	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE1	lineage1.2.2
ERR046907	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE1	lineage1.1.2
ERR046908	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR046917	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.3
ERR046939	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.2
ERR046941	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE3	lineage3.1.2.2
ERR046943	R	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.1
ERR046975	S	PRJEB2221	WHO	solid_media	LJ	resistance_ratio	WHO_past	United_Kingdom	LINEAGE4	lineage4.1.1.1
ERR067576	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067577	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE4	lineage4.2.1
ERR067578	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067580	S	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067581	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067582	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067583	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067584	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067585	S	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE4	lineage4.3.3
ERR067586	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067587	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067588	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067589	S	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067590	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE2	lineage2.2.1
ERR067591	R	PRJEB2138	WHO	solid_media	LJ	resistance_ratio	WHO_undefined	Russian_Federation	LINEAGE4	lineage4.3.3
