Lineage,ancestor_nodes1,ancestor_nodes2,ancestor_nodes3,ancestor_nodes4,ancestor_nodes5,ancestor_nodes6,ancestor_nodes7,ancestor_nodes8
Lineage1.1,L1234567,L12347,L1,,,,,
Lineage1.2,L1234567,L12347,L1,,,,,
Lineage2.31-3,L1234567,L12347,L2347,L234,L23,L2,L2.2,L2.3
Lineage2.3.4,L1234567,L12347,L2347,L234,L23,L2,L2.2,L2.3
Lineage2.3.5,L1234567,L12347,L2347,L234,L23,L2,L2.2,L2.3
Lineage2.3.6,L1234567,L12347,L2347,L234,L23,L2,L2.2,L2.3
Lineage2_other,L1234567,L12347,L2347,L234,L23,L2,L2.2,
Lineage2.unknown,L1234567,L12347,L2347,L234,L23,L2,L2.2,
Lineage3,L1234567,L12347,L2347,L234,L23,L3,,
Lineage4.1.1,L1234567,L12347,L2347,L234,,L4,,
Lineage4.1.2,L1234567,L12347,L2347,L234,,L4,,
Lineage4.2,L1234567,L12347,L2347,L234,,L4,,
Lineage4.31-3,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.3.4,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.4,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.5,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.6,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.7,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.8,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage4.9_filter,L1234567,L12347,L2347,L234,,L4,L4.3-11,
Lineage5,L1234567,L56BOV,,,,,,
Lineage6,L1234567,L56BOV,L6BOV,,,,,
Lineage7,L1234567,L12347,L2347,,,,,
